ticket_id,subject,status,priority,createdate,closed_date,associated_contact_id,associated_company_id
405,API request returning 500 error,In Progress,High,2025-08-23,2025-08-08,570,293
406,Email sync not working,On Hold,Low,2025-07-19,,764,179
407,UI not loading correctly on dashboard,On Hold,High,2025-06-25,2025-01-27,604,15
408,API request returning 500 error,In Progress,High,2025-07-01,2025-03-29,481,128
409,API request returning 500 error,New,Low,2025-06-21,,743,129
410,API request returning 500 error,In Progress,High,2025-05-11,,473,68
411,Two-factor authentication setup failing,In Progress,High,2025-01-30,,263,284
412,UI misalignment on Chrome,Closed,Medium,2025-06-01,2025-07-07,192,229
413,Notification emails not being sent,Closed,Low,2025-07-06,,937,257
414,UI not loading correctly on dashboard,New,Medium,2025-06-19,,763,242
415,Invoice not generating correctly,New,Low,2025-07-27,,571,188
416,Notification emails not being sent,Closed,High,2025-08-02,,620,116
417,UI misalignment on Chrome,New,Medium,2025-06-28,,464,16
418,Trial upgrade not processing,Open,Medium,2025-05-15,,632,11
419,Data sync delay between systems,Open,High,2025-03-02,2025-03-09,984,185
420,Two-factor authentication setup failing,Open,Low,2025-02-05,2025-08-21,700,198
421,Mobile app crashes on login,On Hold,Medium,2025-07-11,,49,205
422,UI not loading correctly on dashboard,Closed,Low,2025-07-12,,604,270
423,Workflow automation not triggering,In Progress,High,2025-04-27,2025-08-23,968,90
424,UI misalignment on Chrome,On Hold,High,2025-04-22,2025-02-13,825,184
425,Duplicate records in database,Open,High,2025-01-04,2025-04-30,370,288
426,Invoice not generating correctly,Closed,Low,2025-04-21,2025-04-11,9,276
427,UI not loading correctly on dashboard,New,High,2025-07-16,2025-05-06,73,25
428,Error exporting reports,New,Medium,2025-08-24,,128,39
429,Account deactivated unexpectedly,Closed,Low,2025-01-07,,480,110
430,Notification emails not being sent,Open,Low,2025-04-05,,818,41
431,Slow page load times in app,On Hold,Medium,2025-01-02,,524,156
432,Invoice not generating correctly,Closed,High,2025-02-23,,159,11
433,Duplicate records in database,Open,Medium,2025-02-05,,227,173
434,Workflow automation not triggering,Open,High,2025-07-02,,98,102
435,Email sync not working,Closed,High,2025-04-02,2025-06-16,763,120
436,Notification emails not being sent,In Progress,High,2025-03-14,,674,94
437,Trial upgrade not processing,Closed,Low,2025-07-15,,824,131
438,UI misalignment on Chrome,In Progress,Medium,2025-06-24,2025-01-28,457,212
439,Email sync not working,Closed,High,2025-01-09,,799,245
440,Workflow automation not triggering,On Hold,Low,2025-03-07,2025-07-25,776,10
441,Email sync not working,Open,Low,2025-01-15,2025-05-06,168,161
442,Unable to log in with SSO,In Progress,Low,2025-08-09,2025-03-15,28,232
443,Mobile app crashes on login,Open,Medium,2025-04-13,2025-05-13,273,38
444,Permissions not updating for new user,Open,Medium,2025-08-26,,869,145
445,Error exporting reports,Closed,High,2025-03-22,,763,268
446,API request returning 500 error,On Hold,Medium,2025-01-14,2025-08-30,578,258
447,Permissions not updating for new user,On Hold,Medium,2025-03-13,,249,102
448,Permissions not updating for new user,Closed,Medium,2025-02-16,2025-01-10,439,161
449,Broken link in help center,Closed,Low,2025-08-20,,547,162
450,Duplicate records in database,New,Medium,2025-03-26,,215,127
451,UI not loading correctly on dashboard,In Progress,High,2025-02-15,,193,245
452,Mobile app crashes on login,New,Medium,2025-06-22,2025-03-03,571,296
453,UI not loading correctly on dashboard,In Progress,Medium,2025-05-14,,703,135
454,Account deactivated unexpectedly,Closed,Low,2025-08-13,,172,292
455,Notification emails not being sent,On Hold,Medium,2025-04-22,,190,196
456,Trial upgrade not processing,New,Low,2025-02-10,2025-04-12,427,86
457,Slow page load times in app,Open,Low,2025-08-24,2025-08-26,783,142
458,UI not loading correctly on dashboard,In Progress,High,2025-05-04,2025-07-19,77,244
459,Workflow automation not triggering,Closed,High,2025-05-02,,14,30
460,API request returning 500 error,Open,Medium,2025-01-07,2025-05-21,356,61
461,UI misalignment on Chrome,In Progress,High,2025-06-11,2025-08-29,780,138
462,API request returning 500 error,Open,High,2025-02-17,,282,166
463,Two-factor authentication setup failing,In Progress,Medium,2025-06-04,2025-08-25,858,272
464,Data sync delay between systems,New,Medium,2025-03-05,,90,134
465,Workflow automation not triggering,New,Medium,2025-08-30,2025-05-16,234,62
466,UI misalignment on Chrome,New,High,2025-05-22,2025-03-31,613,275
467,Integration with Salesforce failing,In Progress,High,2025-07-14,2025-06-01,329,120
468,Notification emails not being sent,Open,High,2025-03-10,,843,113
469,UI not loading correctly on dashboard,Open,Medium,2025-07-08,2025-08-14,395,263
470,Custom field not saving properly,On Hold,High,2025-07-28,2025-02-09,809,133
471,Slow page load times in app,Closed,Medium,2025-06-13,,479,6
472,Two-factor authentication setup failing,Open,Medium,2025-03-09,,494,62
473,Data sync delay between systems,In Progress,Low,2025-01-17,2025-04-22,156,58
474,Custom field not saving properly,On Hold,Medium,2025-05-18,2025-02-03,88,109
475,Email sync not working,In Progress,Medium,2025-03-28,2025-08-25,141,271
476,Trial upgrade not processing,In Progress,High,2025-08-10,,490,179
477,Data sync delay between systems,On Hold,High,2025-02-20,2025-05-19,443,98
478,Mobile app crashes on login,On Hold,Low,2025-04-24,,187,60
479,Email sync not working,Open,Low,2025-01-16,,496,109
480,Broken link in help center,New,Medium,2025-03-05,,544,93
481,Mobile app crashes on login,In Progress,High,2025-08-02,2025-07-22,243,135
482,Custom field not saving properly,On Hold,High,2025-01-17,,469,47
483,Trial upgrade not processing,New,Low,2025-03-27,,165,75
484,Two-factor authentication setup failing,New,Low,2025-07-02,,786,255
485,Duplicate records in database,New,Medium,2025-05-22,,173,212
486,Trial upgrade not processing,Open,Low,2025-03-28,2025-05-27,654,213
487,Email sync not working,In Progress,Medium,2025-05-11,,758,178
488,Unable to log in with SSO,On Hold,Low,2025-07-21,,367,146
489,Email sync not working,Closed,Low,2025-04-24,,130,42
490,Slow page load times in app,Closed,Medium,2025-06-09,2025-07-09,396,100
491,UI misalignment on Chrome,New,Low,2025-01-16,2025-02-04,619,109
492,Workflow automation not triggering,Open,Low,2025-05-05,,34,95
493,Broken link in help center,Closed,Medium,2025-01-31,2025-03-30,634,150
494,Slow page load times in app,New,Medium,2025-04-23,,434,30
495,Data sync delay between systems,New,Low,2025-05-16,,533,180
496,Slow page load times in app,New,Medium,2025-07-17,2025-05-11,808,222
497,Custom field not saving properly,Closed,Medium,2025-03-01,2025-03-18,530,194
498,Integration with Salesforce failing,New,Medium,2025-04-05,2025-07-04,848,253
499,Integration with Salesforce failing,Closed,High,2025-05-05,2025-07-01,587,230
500,Workflow automation not triggering,In Progress,Low,2025-02-21,2025-03-14,144,16
